subject,event,source,has_transcript
"Aaron Bedra","",vimeo,yes
"Aaron Bedra","",youtube,no
"Aaron Holbrook","",vimeo,yes
"Aaron Holbrook","",youtube,no
"Aaron Kalin","",vimeo,yes
"Aaron Kalin","",youtube,no
"Aaron Patterson Ruby & Rails Core team member and keynote speaker","RailsConf 2014",youtube,no
"Adam Grandy","",vimeo,yes
"Adam Grandy","",youtube,no
"Adewale Oshineye","",youtube,no
"Adewale Oshineye co-author of Apprenticeship Patterns","",youtube,no
"Adewale Oshineye.mp4","",vimeo,no
"Adewale Oshinye","",vimeo,yes
"Adrian Cockcroft keynote speaker for GOTO Chicago 2014","",youtube,yes
"Aino Vonge Corry an speaker introducer","GOTO Chicago 2014",youtube,yes
"Alex Rutkowski & Joel Friedman on remote pairing","GOTO Chicago 2014",youtube,yes
"Alexander Dymo on his Ruby Performance talk","RailsConf 2014",youtube,yes
"Amitai Schlair","",youtube,no
"Amitai Schlair.mp4","",vimeo,no
"Amy Kinney","",youtube,no
"Andrea Magnorsky","",vimeo,yes
"Andrea Magnorsky","",youtube,no
"Andy Lester","",youtube,no
"Andy Lester.mov","",vimeo,no
"Angelique Martin","",vimeo,yes
"Angelique Martin","",youtube,no
"Angelique Martin.mp4","",vimeo,no
"angleBracket w/Pat Paasch & Clark Sell","",vimeo,no
"Anita Sengupta","GOTO Chicago 2015",youtube,yes
"Anna Lear","",youtube,no
"Anthony Zinni and Jon Buda and Shay Howe","",youtube,no
"Arthur Kay","",vimeo,yes
"Arthur Kay","",youtube,no
"Ashe Dryden","",vimeo,yes
"Ashe Dryden","",youtube,yes
"Avdi Grimm","",vimeo,yes
"Benjamin Oakes","",vimeo,yes
"Benjamin Oakes","",youtube,no
"Bill Scott","",youtube,no
"Bobby Johnson","",youtube,no
"Boston SC w/Zach Shaw","",vimeo,no
"Brad Wilkening","",vimeo,yes
"Brad Wilkening","",youtube,no
"Brian Liles","",vimeo,no
"Brian Marick","",vimeo,yes
"Brian Marick","",youtube,no
"Brian Ray","",youtube,yes
"Bryan Liles","",youtube,no
"Camille Fournier on rewriting software","GOTO Chicago 2014",youtube,yes
"Carina C  Zona","",youtube,no
"Carl Erickson","",vimeo,yes
"Carl Erickson","",youtube,no
"Carlos Antonio da Silva a Rails Core team member","RailsConf 2014",youtube,yes
"Carolyn Chandler","",youtube,no
"Charles Nutter","GOTO Chicago 2015",youtube,yes
"Charles Oliver Nutter","",vimeo,yes
"Charles Oliver Nutter","",youtube,no
"Charley Baker","",youtube,no
"Chet Hendrickson & Ron Jefferies","",vimeo,yes
"Chet Hendrickson & Ron Jefferies","",youtube,no
"Chicago Alt.NET w/Sergio Pereira","",vimeo,no
"Chicago Software Craftsmanship w/Steve Kim and Jim Suchy","",vimeo,no
"ChicagoRuby w/Ray Hightower","",vimeo,no
"ChiPy w/Brian Ray","",vimeo,no
"Chris Whitaker","",youtube,yes
"Cindy Sprague a lead organizer with GOTO Chicago 2014","",youtube,yes
"Cleveland & Pittsburgh Community w/Michael Norton","",vimeo,no
"Colin Jones","",vimeo,yes
"Colin Jones","",youtube,no
"Coraline Ada Ehmke on Artis","",youtube,yes
"Corey Haines","",vimeo,yes
"Corey Haines","",youtube,no
"Cory Foy","",vimeo,yes
"Cory Foy","",youtube,no
"Courtney Hemphill on Mixing Lean & Agile Development","GOTO Chicago 2014",youtube,yes
"Culley Smith","",vimeo,yes
"Culley Smith","",youtube,no
"Dan North","",youtube,no
"Daniel X. O'Neil","",vimeo,yes
"Daniel X. O'Neil","",youtube,no
"Dave Duggal","GOTO Chicago 2015",youtube,yes
"Dave Hoover","",youtube,no
"Dave Thomas","",youtube,no
"Dave Thomas.mp4","",vimeo,no
"David Dickinson and Ross Beehler","",youtube,no
"David Heinemeier Hansson (DHH)","",youtube,yes
"DC Alt.NET w/Max Lancaster","",vimeo,no
"Dean Wampler","",youtube,yes
"Dean Wampler","GOTO Chicago 2015",youtube,yes
"Denver Community w/Charler Baker","",vimeo,no
"Drew Shefman","",youtube,no
"Dustin Updyke","",youtube,no
"Emily Rosengren on User Groups and ThoughtWorks","GOTO Chicago 2014",youtube,no
"Eric Kingery","",youtube,no
"Eric MacAdie","",vimeo,yes
"Eric MacAdie","",youtube,no
"Erik Meijer creator Reactive Framework","GOTO Chicago 2013",youtube,no
"Evan Light","",vimeo,yes
"Evan Light","",youtube,yes
"Evan Light founder DCamp","RailsConf 2014",youtube,yes
"Evan Phoenix creator of Rubinius Ruby VM and Puma App Se","",youtube,yes
"Farrah Bostic founder The Difference Engine and a keynot","",youtube,yes
"Fred George on Programmer Anarchy","GOTO Chicago 2014",youtube,yes
