subject	event	normalized_event	group	transcript	sources	titles	vimeo_urls	youtube_ids
Aaron Bedra			Community	yes	vimeo,youtube	Aaron Bedra | Interview with Aaron Bedra	http://vimeo.com/51956852	
Aaron Holbrook			Community	yes	vimeo,youtube	Aaron Holbrook | Interview with Aaron Holbrook	http://vimeo.com/64894387	
Aaron Kalin			Community	yes	vimeo,youtube	Aaron Kalin | Interview with Aaron Kalin	http://vimeo.com/50904366	
Aaron Patterson Ruby & Rails Core team member and keynote speaker	RailsConf 2014	RailsConf 2014	RailsConf	no	youtube	Interview with Aaron Patterson Ruby & Rails Core team member and keynote speaker at RailsConf 2014		
Adam Grandy			Community	yes	vimeo,youtube	Adam Grandy | Interview with Adam Grandy	http://vimeo.com/49275718	
Adewale Oshineye			Community	no	youtube	Interview with Adewale Oshineye		
Adewale Oshineye co-author of Apprenticeship Patterns			Community	no	youtube	Interview with Adewale Oshineye co-author of Apprenticeship Patterns		
Adewale Oshineye.mp4			Community	no	vimeo	Adewale Oshineye.mp4	http://vimeo.com/90550217	
Adewale Oshinye			Community	yes	vimeo	Adewale Oshinye	http://vimeo.com/54327050	
Adrian Cockcroft keynote speaker for GOTO Chicago 2014		GOTO Chicago 2014	GOTO Conference	yes	youtube	Interview with Adrian Cockcroft keynote speaker for GOTO Chicago 2014		
Aino Vonge Corry an speaker introducer	GOTO Chicago 2014	GOTO Chicago 2014	GOTO Conference	yes	youtube	Interview with Aino Vonge Corry an speaker introducer at GOTO Chicago 2014		
Alex Rutkowski & Joel Friedman on remote pairing	GOTO Chicago 2014	GOTO Chicago 2014	GOTO Conference	yes	youtube	Interview with Alex Rutkowski & Joel Friedman on remote pairing at GOTO Chicago 2014		
Alexander Dymo on his Ruby Performance talk	RailsConf 2014	RailsConf 2014	RailsConf	yes	youtube	Interview with Alexander Dymo on his Ruby Performance talk at RailsConf 2014		
Amitai Schlair			Community	no	youtube	Interview with Amitai Schlair		
Amitai Schlair.mp4			Community	no	vimeo	Amitai Schlair.mp4	http://vimeo.com/90550218	
Amy Kinney			Community	no	youtube	Interview with Amy Kinney		
Andrea Magnorsky			Community	yes	vimeo,youtube	Andrea Magnorsky | Interview with Andrea Magnorsky	http://vimeo.com/59963878	
Andy Lester			Community	no	youtube	Interview with Andy Lester		
Andy Lester.mov			Community	no	vimeo	Andy Lester.mov	http://vimeo.com/50904365	
Angelique Martin			Community	yes	vimeo,youtube	Angelique Martin | Interview with Angelique Martin	http://vimeo.com/49469070	
Angelique Martin.mp4			Community	no	vimeo	Angelique Martin.mp4	http://vimeo.com/89909954	
angleBracket w/Pat Paasch & Clark Sell			Community	no	vimeo	angleBracket w/Pat Paasch & Clark Sell	http://vimeo.com/38713715	
Anita Sengupta	GOTO Chicago 2015	GOTO Chicago 2015	GOTO Conference	yes	youtube	Interview with Anita Sengupta @ GOTO Chicago 2015		
Anna Lear			Community	no	youtube	Interview with Anna Lear		
Anthony Zinni and Jon Buda and Shay Howe			Community	no	youtube	Interview with Anthony Zinni and Jon Buda and Shay Howe		
Arthur Kay			Community	yes	vimeo,youtube	Arthur Kay | Interview with Arthur Kay	http://vimeo.com/63577942	
Ashe Dryden			Community	yes	vimeo,youtube	Ashe Dryden | Interview with Ashe Dryden	http://vimeo.com/65153113	
Avdi Grimm			Community	yes	vimeo	Avdi Grimm	http://vimeo.com/62609424	
Benjamin Oakes			Community	yes	vimeo,youtube	Benjamin Oakes | Interview with Benjamin Oakes	http://vimeo.com/49265043	
Bill Scott			Community	no	youtube	Interview with Bill Scott		
Bobby Johnson			Community	no	youtube	Interview with Bobby Johnson		
Boston SC w/Zach Shaw			Community	no	vimeo	Boston SC w/Zach Shaw	http://vimeo.com/32400279	
Brad Wilkening			Community	yes	vimeo,youtube	Brad Wilkening | Interview with Brad Wilkening	http://vimeo.com/54327054	
Brian Liles			Community	no	vimeo	Brian Liles	http://vimeo.com/49265045	
